DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
4-Jan,SHIMANO PHILIPPINES INC,SHIMANO SINGAPORE PTE LTD,BUXMELODY 092N,SNKO162171200159,MY,2167,MOLD FOR PRODUCTION USE,"61,280.10",3335814
24-Jan,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HOPE V. 0038E,MOLU13807302008,TH,25371,2X20RF EPOXY ENCAPSULATION COMPOUND,"88,341.44",4611272
15-Jan,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HORIZON V. 1095E,MOLU13807292487,TH,25371,2X20RF EPOXY ENCAPSULATION MATERIAL,"89,552.42",4654979
30-Jan,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HORIZON V. 1097E,MOLU13807302013,TH,23760,2X20RF EPOXY ENCAPSULATION MATERIAL,"89,212.80",4707580
3-Jan,SIA ENGINEERING PHILS CORP.,PPG INDUSTRIES (S) PTE LTD,FX5158,108530,SG,308,PRIMER,"13,925.33",741600
19-Jan,SIGLO LEATHERWARE MANUFACTURING INC,SHEN ZHEN GNG CO LTD.,MAGNAVIA V. 18002S,721BK8002439A,CN,1086,HOT MELT ADHESIVE,"13,496.50",713810
11-Jan,SIIX LOGISTICS PHILS. INC.,SIIX CORP,JL0745,NEC59884591,JP,29,ANISTROPIC CONDUCTIVE,"15,785.01",839863
10-Jan,SIIX LOGISTICS PHILS. INC.,SIIX CORP,WAN HAI 313 S167,61512,JP,171,EPOXY GLUE,"6,079.18",323969
17-Jan,SIIX LOGISTICS PHILS. INC.,SIIX CORP,IWASHIRO 249S,63442,JP,1047,"EPOXY RESIN, ETC","6,879.59",367333
10-Jan,SIIX LOGISTICS PHILS. INC.,SIIX CORP,WAN HAI 313 S167,61512,JP,6397,"EPOXY RESIN, HARDENER","32,601.86",1718355
24-Jan,SIKA PHILIPPINES INC.,SIKA SUPPLY CENTER AG,YM WELNESS,5700,CH,1567,INDUSTRIAL AND CONSTRUCTION CHEMICAL HARMLES,"5,652.02",306037
10-Jan,SIKA PHILIPPINES INC.,SIKA KIMIA SDN BHD LOT 689,NYK JOANNA V.060N,PKGMNL181251,MY,8251,SIKA WT 220 PMY,"16,387.09",875877
4-Jan,SIKA PHILIPPINES INC.,PT.SIKA INDONESIA,SEASPAN SANTOS V.254QAN,JKTMNL1712009,ID,5400,SIKADUR 31 CF NORMAL(AB),"9,050.08",465648
5-Jan,SIKA PHILIPPINES INC.,PT.SIKA INDONESIA,DEVA V.256QAN,JKTMNL1712015,ID,31880,SIKADUR 42 MP NORMAL HC(ABC),"36,000.86",1831998
5-Jan,SIKA PHILIPPINES INC.,"SIKA (CHINA) LTD.,",HAI LIAN V.1734S,SITGSHMSK07691,CN,41685,SIKAFLEX CONSTRUCTION GREY & WHITE,"120,261.35",6076428
29-Jan,SIKA PHILIPPINES INC.,PT.SIKA INDONESIA,SEASPAN SANTOS V.264QAN,JKTMNL1801011,ID,8320,SIKAFLOOR 263 SL HC 7035 (AB),"16,506.38",853869
30-Jan,SIKA PHILIPPINES INC.,"WACKER CHEMICALS (CHINA)CO.,LT",YUHANG 116,801011,CN,13850,"SIKAHYFLEX 305 AP GREY S1,BLACK ","52,245.58",2679133
11-Jan,SIKA PHILIPPINES INC.,AZV TRADING LLC,YM ULTIMATE V.067W,HLCUATL171120751,US,18506,SIKAREPAIR 224,"9,965.51",539200
3-Jan,SIKA PHILIPPINES INC.,SIKA ENGINEERING SILICONES SRL,HANOVER EXPRESS V.073E,M600250253,IT,13440,SIKASIL SG-500 CN COMP.A,"60,901.32",3227669
23-Jan,SIKA PHILIPPINES INC.,SIKA ENGINEERING SRL,NAGOYA EXPRESS V. 047,SUMAN00026,IT,4176,SILICONE SEALANT HARMLESS PRODUCT,"26,042.72",1388753
31-Jan,SILVER PINNACLE ENTERPRISES,NAN YA PLASTICS CORPORATION,WAN HAI 162 S291,0018A14669,KR,38400,LIQUID EPOXY,"27,455.90",1488039
31-Jan,SMK ELECTRONICS PHILS CORP,THREE BOND(S)PTE LTD,FX5158,691575,JP,29,ADHESIVE,"11,813.45",639527
16-Jan,SMK ELECTRONICS PHILS CORP,THREE BOND(S)PTE LTD,FX5158,91564,SG,25,ADHESIVE,"9,735.43",519907
9-Jan,SMK ELECTRONICS PHILS CORP,LG CHEM LTD,KE621,PLIHQ0800749,KR,202,OPTICAL CLEAR ADHESIVE,"7,865.43",418894
11-Jan,SPURWAY INTL. MARKETING CORPORATION,SHANGHAI NATURE BUILDING,HAI LIAN 1734S,SITGSHMNT01599,CN,1500,200 PAILS OF NQ710 2 COMPONENT ADHESIVE,"7,715.85",391991
11-Jan,SPURWAY INTL. MARKETING CORPORATION,SHANGHAI NATURE BUILDING,HAI LIAN 1734S,SITGSHMNT01599,CN,5150,70 PAILS OF NQ160 MULTIPURPOSE,"7,973.93",404980
4-Jan,STANZA ALUMINUM AND GLASS,DOW CORNING  KOREA LTD.,PHILIPPA SCHULTE,SNKO010171204768,CN,24000,SEALANT (DOW CORNING GLASS SEALANT),"31,503.27",1670550
9-Jan,STANZA ALUMINUM AND GLASS,DOW CORNING  KOREA LTD.,HEUNG-A HAIPHONG,MOLU13704875050,KR,24494,SEALANT (DOW CORNING GLASS SEALANT),"29,236.50",1551503
24-Jan,STANZA ALUMINUM AND GLASS,DOW CORNING 24 GWANGHYEWON SAN,WAN HAI 162,0057X40462,KR,25712,SEALANT (DOW CORNING GLASS SEALANT),"28,955.25",1551830
5-Jan,STARKEN PHILIPPINES INC.,STARKEN AAC SDN. BHD.,MV ITAL MILIONE,EGLV091730519914,MY,73570,"THIN BED ADHESIVE, SKIM COAT BASE, SKIM COAT","11,947.19",650955
30-Jan,STMICROELECTRONICS INC.,HENKEL ELECTRONIC MATERIALS LLC,BR0261,548044,US,104,"1088.00 GM LOCTITE ABLESTIK 2100A, 6.00 EA L","16,972.61",917504
27-Jan,STMICROELECTRONICS INC.,HENKEL KOREA LTD,KE621,AMO288564,KR,63,11790.00 NE LOCTITE ABLESTIK ETC,"32,616.32",1755271
5-Jan,STMICROELECTRONICS INC.,HENKEL ELEC MATERIAL LLC,BR271,37850,US,59,12.00 EA LOCTITE ABLESTIK C115,"25,208.25",1330209
19-Jan,STMICROELECTRONICS INC.,HENKEL TECHNOLOGIES (KOREA) LTD.,KE621,AMO288559,KR,89,12025.00 NE LOCTITE ABLESTIK,"31,129.36",1659371
6-Jan,STMICROELECTRONICS INC.,HENKEL (MALAYSIA) SDN BHD,OZ703,TAO58052956,MY,777,249.64 NE LOCTITE ECOBOND,"23,122.04",1220645
3-Jan,STMICROELECTRONICS INC.,ABLESTIK (SHANGHAI) LTD,CX903,SHA82728100,CN,90,250.00 PE LOCTITE ABLESTIK ABP 8420,"7,378.48",396009
9-Jan,STMICROELECTRONICS INC.,ABLESTIK (SHANGHAI) LTD,CX903,SHA82888020,CN,135,3416.00 NE LOCTITE ABLESTIK,"14,362.09",760337
28-Jan,STMICROELECTRONICS INC.,ABLESTIK (SHANGHAI) LTD,CX935,SHA82888146,CN,132,3416.00 NE LOCTITE ABLESTIK ABP,"14,360.41",772857
13-Jan,STMICROELECTRONICS INC.,HENKEL KOREA LTD,KE621,AMO288553,KR,62,4085.00 NE LOCTITE ABLESTIK QM1519,"7,289.17",387820
3-Jan,STMICROELECTRONICS INC.,ABLESTIK (SHANGHAI) LTD,CX903,SHA82728149,CN,150,430.00 EA LOCTITE ABLESTIK ABP 8420,"12,685.15",676892
3-Jan,STMICROELECTRONICS INC.,HENKEL (MALAYSIA) SDN BHD,KE621,TAO58051000,MY,255,93.22 NE LOCTITE ECOBOND,"8,587.55",459948
3-Jan,STMICROELECTRONICS INC.,HENKEL KOREA LTD,KE621,AMO288547,KR,69,9840.00 NE LOCTITE ABLESTIK,"27,097.81",1437622
16-Jan,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",ISAO 1726S,SITGSHMNL02133,CN,13000,BLUESIL TCS 7525 A R/B,"119,884.80",6341243
12-Jan,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",HAI LIAN 1734S,SITGSHMNL02130,CN,12726,BLUESIL TCS 7525 A R/B,"119,884.80",6342881
30-Jan,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",ISAO 1801S,SITGSHMNL02163,CN,12000,BLUESIL TCS 7525 A R/B,"119,884.80",6439042
22-Jan,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",HAI LIAN 1802S,SITGSHMNL02157,CN,13000,"BLUESIL TCS 7525AR, BLUESIL TCS 7525 B","119,884.80",6369222
25-Jan,STT PHILIPPINES INC,STT INC.,IWASHIRO 250S,YOKABV42466,JP,9072,"GLUE SE6750 A,GLUE SE6750B","130,564.22",6808991
12-Jan,STT PHILIPPINES INC,STT INC.,CAPE NABIL 031S,YOKABS03861,JP,9525,SILICONE SEAL AGENT,"130,622.29",6734721
18-Jan,SUCERE FOODS CORPORATION,ROUSSELOT (M) SDN BHD,CALICANTO BRIDGE,HDMUSGWB0535490,BR,20000,GELATIN 220 H 20,"132,520.00",6881031
26-Jan,SUCERE FOODS CORPORATION,ROUSSELOT (M) SDN BHD,NYK JOANNA,HDMUSGWB0535925,BR,20000,GELATIN 220 H 20,"132,520.00",6911369
15-Jan,SUN BIOTECH CORPORATION,SICHUAN HABIO BIOENGINEERING C,COSCO YINGKOU V.117S,COAU7042068460,CN,14400,SUNBIO MANNANASE FEED PREMIX,"42,726.00",2159468
22-Jan,SUPERL PHILIPPINES INC,SUPERL HOLDINGS LTD,MAGNAVIA V. 18002S,ELCKHKG18010026,HK,1951,WATER BASED ADHESIVE,"10,798.09",573750
13-Jan,SUPERL PHILIPPINES INC,SUPERL HOLDINGS LTD,MAGNAVIA V. 17002S,ELCKHKG18010002,HK,638,WATER BASED ADHESIVE,"5,151.43",272142
17-Jan,SURESTE PROPERTIES INC.,HORNING PARKET AS,TK084,94785,DK,961,3  PKG. STC OIL AND GLUE,"15,742.73",832907
31-Jan,SWITZ MARKETING CORPORATION,EGGWAY INTERNATIONAL ASIA PVT LTD,WAN HAI 505 E116,EGLV100700003866,IN,11250,EGG ALBUMEN POWDER,"67,644.56",3500090
29-Jan,SWITZ MARKETING CORPORATION,OVOBEL FOODS LIMITED,CMA CGM VERDI,MAACB18000190,IN,7500,EGG WHITE POWDER HIGH WHIP,"55,500.00",2867952
8-Jan,SWITZ MARKETING CORPORATION,OVOBEL FOODS LIMITED,SINO BRIDGE 001E,MAACB17008453,IN,3750,EGG WHITE POWDER HIGH WHIP,"28,125.01",1434258
8-Jan,SYNERGY SALES INTERNATIONAL CORP,XIAMEN QICHEN IMPORT & EXPORT,VICTORIA SCHULTE V-1729,142829,CN,22000,GLUE STARCH AS PER INV#XG171227 dtd. 12/27/2,"12,020.00",612087
22-Jan,TAIPHIL PROTECH INDUSTRIAL INC.,NEW VISTA LIMITED,TILLY RUSS 010S,HKGMNL181175,HK,277,GLUE,"9,294.42",493861
3-Jan,TAIPHIL PROTECH INDUSTRIAL INC.,NEW VISTA LIMITED,OOCL CHARLESTON 120S,HKGMNL17C214,HK,73,GLUE,"5,383.26",286299
11-Jan,TAMSONS ENTERPRISES INC,SHENZHEN YEAHZHOU IMPORTS &,MAGNAVIA,PLIHK4703955,CN,3456,PRO SPEC CONSTRUCTION ADHESIVE,"11,384.87",580194
5-Jan,TAMSONS ENTERPRISES INC,SELLEYS PTY LIMITED,CAP FERRATO,2569,AU,4407,SELLEYS ALL CLEAR 260G,"46,378.35",2345201
24-Jan,TAMSONS ENTERPRISES INC,DGL INTERNATIONAL (MALAYSIA),NORTHERN VALENCE,PKGMNS18001,MY,3308,SELLEYS BLOCKADE SILICONE SEALANT,"6,383.73",327555
24-Jan,TAMSONS ENTERPRISES INC,DGL INTERNATIONAL (MALAYSIA),NORTHERN VALENCE,PKGMNS18001,MY,2800,SELLEYS LIQUID NAILS HEAVY DUTY,"16,435.42",837210
13-Jan,TDK PHILIPPINES CORPORATION,THREE BOND SINGAPORE PTE LTD,SQ910,NES60123862,JP,9,ADHESIVE,"6,431.04",345414
20-Jan,TDK PHILIPPINES CORPORATION,MERCK PERFORMANCE MATERIALS PTE LTD,SQ912,NES60119732,SG,41,AZ P4620 1G PED,"7,795.20",411403
24-Jan,TDK PHILIPPINES CORPORATION,DELO INDUSTRIE KLEBSTOFFE GMBH & CO,EY428,NED63649972,DE,166,DELO DUALBOND,"7,291.20",392538
16-Jan,TEMIC AUTOMOTIVE (PHILS.) INC.,HENKEL ELECTRONIC MATERIALS LLC,CX901,NEU61107830,US,169,LOCTITE,"15,674.27",834016
23-Jan,TEMIC AUTOMOTIVE (PHILS.) INC.,DOW CORNING SINGAPORE PTE LTD,LOBIVIA 059E,SIN9101937,BE,454,STC DOW CORNING 7091 ADHESIVE SEALANT BLACK,"5,965.16",322391
9-Jan,TFE SALES MARKETING CORPORATION,MOMENTIVE PERFORMANCE MATERIALS,CHATTANOOGA S226,0357X61343,TH,14400,PREPARED ADHESIVE FOR TOP490N (MOMENTIVE PER,"9,935.36",544357
15-Jan,TFE SALES MARKETING CORPORATION,DOW CORNING KOREA LTD.,CHATTANOOGA S227,0057X40060,KR,30750,PREPARED ADHESIVE XIAMETER (R) SLT-7160 SEAL,"19,948.40",1094033
30-Jan,TFE SALES MARKETING CORPORATION,WACKER CHEMICALS KOREA INC.,CHATTANOOGA 229S,OOLU2598463570,KR,13600,SEALANTS LC TRANS (WACKER); 200KG/DRUM,"9,469.28",529938
8-Jan,TFE SALES MARKETING CORPORATION,MOMENTIVE PERFORMANCE,OOCL CHARLESTON 120S,OOLU2596656100,TH,6431,SILICONE SEALANTS CARTRIDGE OXIME PUTTY,"32,256.00",1624318
