DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S290,0017D99494,TW,750,LIQUID ADHESIVE 1071 S,"5,310.00","283,382.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,"4,500",LIQUID ADHESIVE A068,"11,925.00","641,491.00"
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S290,0017D99494,TW,"7,200",LIQUID ADHESIVE A305,"15,552.00","827,192.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,"3,000",LIQUID ADHESIVE A305,"5,550.01","299,396.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,"4,500",LIQUID ADHESIVE NP 71KN,"7,244.99","390,395.00"
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S290,0017D99494,TW,338,LIQUID ADHESIVE RFE,"7,204.51","383,962.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,338,LIQUID ADHESIVE RFE,"7,204.49","388,133.00"
19-Jan,NELTEX DEVELOPMENT CO. INC,NAN YA PLASTICS CORPORATION,MAERSK WIESBADEN 1801,MCB089629,TW,"43,200",GEN:GLUE FOR PVC/SPEC:GLUE FOR PVC INDUSTRIA,"87,696.00","4,682,244.00"
12-Jan,NESTLE PHILIPPINES INC.,ARMOR PROTEINES SAS,HANSA FALKENBURG  1801,5056,FR,"20,000",1X40  POTASSIUM CASEINATE,"133,639.34","8,318,188.00"
8-Jan,NESTLE PHILIPPINES INC.,ARMOR PROTEINES SAS,SFL AVON 1801,9912,FR,"20,000",1X40 POTASSIUM CASEINATE,"133,665.07","8,229,776.00"
26-Jan,NESTLE PHILIPPINES INC.,FONTERRA LIMITED,MAERSK JABAL,33576,NZ,"25,580",2X20 CNTRS SODIUM CASEINATE,"207,578.11","10,616,188.00"
30-Jan,NESTLE PHILIPPINES INC.,ARLA FOODS AMBA,SONGA HAYDN 802A,A10422930A,DK,"75,600",4X40 SODIUM CASEINATE,"520,996.72","27,449,103.00"
