DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
9-Feb,AMPERE RESOURCES CORPORATION,BDP INTERNATIONAL,NYK JOANNA V.062N,10360,SG,1754.00,ENDOTHERMIC FIRESTOP SEALANT,"18,451.40",1000760.00
28-Feb,WILLS INTERNATIONAL SALES CORP.,NOVOZYMES MALAYSIA SDN BHD,CALICANTO BRIDGE/249N,01PKG0119297,MY,8507.00,ENZYMES 3995324-170 NOVAMYL 1500MG; 3525082-,"191,056.50",10302169.00
20-Feb,AB HEINEKEN PHILIPPINES INC.,NOVOZYMES MALAYSIA SDN BHD,WAN HAI 105/N202,01PKG0115115,MY,1320.00,ENZYMES- ATTENUZYME CORE,"10,025.82",543044.00
1-Feb,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,CAPE NABIL 032S,NYKSSM7AA7190200,JP,1657.00,"E-TEC, ADHESIVE, ARONALPHA, SILICON SEALANT","38,326.51",2057986.00
22-Feb,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,CAPE NABIL 033S,NYKSSM7AA7205600,JP,633.00,"E-TEC, ADHESIVE, SILICON SEALANT","14,502.18",794041.00
7-Feb,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,CALLAO BRIDGE 124S,NYKSSM7AA7191300,JP,1486.00,"E-TEC, ARONALPHA, SILICON SEALANT","32,863.67",1779331.00
26-Feb,DKSH PHILIPPINES INC.,DMV,TOKYO TRIUMPH V004E,OOLU2101023530,NL,5000.00,EXCELLION EM 6 SODIUM CASEINATE,"46,545.00",2512678.00
27-Feb,HILTI PHILIPPINES INC.,HILTI AG,LLOYD DON PASCUALE,MNL215790,DE,917.00,FILLING FOAM,"5,389.84",296968.00
2-Feb,HILTI PHILIPPINES INC.,HILTI AG,CHICAGO EXPRESS,MNL215576,DE,3830.00,"FIRESTOP SILICONE JOINT SPRAY, INSULATING FO","23,322.12",1252029.00
27-Feb,FISCHER PH ASIA INC,FISHERWERKE GMBH & CO KG,MAYVIEW MAERSK MAE8754,STRMNLI00009,DE,7604.00,"FIXING MATERIAL FISEM390S EPOXY RESIN, PUPP","76,845.88",4222882.00
