DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
15-Mar,H.B FULLER (PHILIPPINES) INC.,H.B FULLER ADHESIVE MALASYIA SDN BH,CMA CGM VERDI V.248E,PKGSGL000392,MY,10800.00,CLEANMELT PHC 7256,"28,289.90",1481676.00
20-Mar,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,OOCL EGYPT V 012E,OOLU4045126600,IT,38000.00,CLEARAM CH 20 20,"41,406.11",2237689.00
12-Mar,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,TAIPEI TRIUMPH 0316-003E,OOLU4045025770,IT,19000.00,CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.21",892753.00
16-Mar,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,CMA CGM CASSIOPEIA 266MEE,OOLU4045005180,IT,19000.00,"CLEARAM CH 2020, maize modified starch","16,452.06",892745.00
13-Mar,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,CMA CGM CASSIOPEIA 266MEE,OOLU4045089880,IT,19000.00,CLEARAM CH 40 20,"24,347.52",1314768.00
8-Mar,KINPO ELECTRONICS (PHILIPPINES) INC,ATOM CELS SINGAPORE PTE LTD,NYK JOANNA V 064N,84469,SG,450.00,CONFORMAL COATING,"29,130.19",1601927.00
22-Mar,BOUNTY FRESH FOODS INC,DSM NUTRITIONAL PRODUCTS ASIA,KOTA JUTA,SINCB18006824,DE,5000.00,CRINA POULTRY FEED ADDITIVE POWDER,"140,000.00",7532652.00
6-Mar,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,MOL HORIZON 1100E,MOLU13807413845,TH,46250.00,CRISPIOCA NATIONAL 8991,"50,530.80",2652594.00
9-Mar,INGREDION PHILIPPINES INC.,NATIONAL STARCH AND CHEMICAL,MOL SPARKLE 1067N,MOLU13807526590,TH,17977.00,CRISPIOCA/NATIONAL FRIGEX/PURITY 77HV,"17,618.00",926936.00
19-Mar,REPUBLIC CHEMICAL INDUSTRIES INC.,MOMENTIVE  PERFORMANCE MATERIA,MOL SEABREEZE V. 0103N,GTD0393280,TH,14695.00,CRTV 1490E-DRUM SILICONE SEALANT BULK ACETOX,"68,658.30",3588203.00
