DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
7-Sep,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LOBIVIA 074E,GALSE180808601,SG,528.00,ADHESIVE ARALDITE 2022 PART B,"34,871.53",1957636.00
19-Sep,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDB,XIN QIN HUANG DAO 046E,PKGMNL000668,MY,5425.00,ADHESIVE DURABOND-CONTROLLED,"13,671.06",785869.00
23-Sep,NOLRAM TRADING,"YIWU YUEHANG IMP&EXP CO., LTD.",ISAO 1816S,SNL8NBPLA102286,CN,13770.00,ADHESIVE GLUE STRUCTURAL ADHESIVE GLUE,"19,164.00",1053932.00
29-Sep,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,NASIA 177S,UKBMNL18095064,JP,915.00,ADHESIVE POWDER,"15,354.23",861803.00
20-Sep,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,NYK SILVIA 0501S,UKBMNL18087070,JP,450.00,ADHESIVE POWDER,"9,272.57",523503.00
12-Sep,ASIAN COATINGS PHILS.INC.,SCG TRADING  CO LTD,SITC LIAONING V1827N,SITGLCMN137593,TH,21960.00,ADHESIVE PRODUCTS SISTA BRAND,"84,013.92",4519278.00
25-Sep,TEMIC AUTOMOTIVE (PHILS.) INC.,DOW EUROPE GMBH C/O DSV LOGISTICS,SEASPAN YANGTZE 008E,ANR0070700,BE,480.00,"ADHESIVE SEALANT, DOWSIL 7091 ADHESIVE SEALA","5,882.43",340960.00
27-Sep,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO MORTON LTD.,HEUNG A GREEN 0144S,CC4G88000100,JP,32000.00,ADHESIVE TOMORESTER 45S,"104,424.00",5702834.00
21-Sep,JMS HEALTHCARE PHL INC.,"JMS CO., LTD.",IRENES RESPECT 0003S,VHFLUKBTA1812878,JP,526.00,ADHESIVE VC-1,"4,628.68",273256.00
28-Sep,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,NASIA 177S,ONEYSM8AA3985600,JP,721.00,"ADHESIVE, CORETEX, E-TEC","13,039.50",746564.00
20-Sep,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,NYK SILVIA 0501S,ONEYSM8AA3812900,JP,1321.00,"ADHESIVE, E-TEC, SILICON SEALANT, ETC","26,176.95",1491750.00
28-Sep,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,NASIA 177S,ONEYSM8AA3987800,JP,734.00,"ADHESIVE, SILICON SEALANT, CORETEX, ETC","15,397.82",881826.00
11-Sep,CORLAX TRADING,SHENZHEN XIANGWANTONG TRADE,SITC GENSAN,STGS1822MN068,CN,5810.00,ADHESIVES,"5,977.89",322664.00
4-Sep,SEVERO SY LING INC.,FLEXCO (AUST) PTY LTD,CMA CGM ROSSINI V.306N,SYDAS21814495,AU,308.00,ADHESIVES,"4,594.80",263462.00
25-Sep,WOODCARETECH MARKETING PHILIPPINES,AKZO NOBEL ADHESIVES PTE LTD,XIN QIN HUANG DAO V.046E,SWMNL1852107,SG,2570.00,"ADHESIVES (PVAC 3339, PVAC 3390, PVAC 3314","7,286.00",432339.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,19575.00,ADHESIVES 317NT,"50,799.74",2759938.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,1500.00,ADHESIVES 766N,"3,715.76",202820.00
24-Sep,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ANASSA 18003S,PTMNN1809022,CN,4500.00,ADHESIVES A068,"12,064.15",656220.00
13-Sep,3M PHILS. INC.,3M KOREA HIGHTECH LTD,IRENES RESPECT 0003S,808018,KR,736.00,ADHESIVES BASED ON POLYMERS,"6,017.75",344250.00
