DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
29-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022622,US,156.00,TAPE 3M 9082 RELEASE LINER,"10,360.28",572447.00
27-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022621,US,70.00,TAPE 3M 9082 RELEASE LINER,"8,152.71",451057.00
15-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022032,US,130.00,TAPE 3M 9082 RELEASE LINER,"5,846.08",321191.00
5-Apr,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND MANUFACTURING (THAILAND),TG624,PGT00004245,TH,124.00,TB3089H,"10,486.00",579568.00
20-Apr,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND MANUFACTURING (THAILAND),TG620,YTH02758394,TH,908.00,"TB3140C, TB2202P, TB2217P, TB1782, TB1796B","46,483.69",2550862.00
3-Apr,INLAND WAREHOUSING & LOGISTICS DIV.,"THREEBOND CO., LTD",JL741,770901,JP,25.00,TB3351C TB3037D TB3305D,"8,149.70",453090.00
6-Apr,MOLEX INTEGRATED PRODUCTS PHILS INC,ELLSWORTH ADHESIVE (SINGAPORE),SQ 910,HHE65236195,SG,385.00,TECHNOMELT PA 638 44LB BLK,"12,271.87",697094.00
14-Apr,TOSHIBA INFORMATION EQUIPMENT (PHIL,THREE BOND SINGAPORE PTE LTD,SQ910,YSG03320870,SG,43.00,THREEBOND 1390K ACCELERATOR FOR ANAEROBIC,"6,002.00",333863.00
16-Apr,HENKEL PHILIPPINES INC.,HENKEL & CIE AG,WY843,ZRH0032718,CH,2880.00,TOBACOLL 5067 ALF ADHESIVES,"48,893.21",2678650.00
17-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,36284,JP,235.00,UV CURABLE BACKGRINDING TAPES (BACKGRIND TAP,"24,388.00",1392534.00
27-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,58846,JP,406.00,UV SENSITIVE DICING TAPE,"31,880.17",1802458.00
4-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,47292,JP,143.00,UV SENSITIVE DICING TAPE,"29,906.00",1708475.00
24-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,62626,JP,293.00,UV SENSITIVE DICING TAPE,"25,416.00",1453189.00
3-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,47233,JP,229.00,UV SENSITIVE DICING TAPE,"21,240.00",1218594.00
17-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,36262,JP,300.00,UV SENSITIVE DICING TAPE,"17,472.00",983726.00
27-Apr,TI (PHILIPPINES) INC.,LINTEC CORPORATION,PR431,58835,JP,92.00,UV SENSITIVE DICING TAPE,"12,568.17",707286.00
3-Apr,TI (PHILIPPINES) INC.,"FURUKAWA ELECTRIC CO., LTD",PR431,29490,JP,875.00,UV TAPES,"58,500.00",3345219.00
10-Apr,TI (PHILIPPINES) INC.,FURUKAWA ELECTRIC CO LTD.,PR431,29593,JP,283.00,UV TAPES,"19,555.55",1108507.00
17-Apr,NESTLE PHILIPPINES INC.,EPI INGREDIENTS,GH LESTE 806A,40532,FR,25000.00,1X40 POTASSIUM CASEINATE,"182,678.00",9810344.00
