DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
11-May,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IWASHIRO 256S,ONEYSM8AA2178600,JP,1079.00,"ADHESIVE, ARONALPHA, CORETEX, E-TEC","22,414.23",1221598.00
25-May,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,QUEZON BRIDGE 212S,ONEYSM8AA8009500,JP,842.00,"ADHESIVE, ARONALPHA, CORETEX, E-TEC","18,019.58",993604.00
9-May,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,QUEZON BRIDGE 211S,ONEYSM8AA9096500,JP,1160.00,"ADHESIVE, ARONALPHA, CORETEX, E-TEC, ETC","25,802.58",1406040.00
11-May,BFD GLOBAL FOOTWEAR MNFG. INC.,SLOCUM ADHESIVES CORPORATION,BUDAPEST EXPRESS 046W,BKO1803030,US,4177.00,ADHESIVES,"32,638.39",1785908.00
11-May,PAREXGROUP INC.,EMFI SAS,NYK JOANNA V. 069S,AME65ME885042,DE,20467.00,ADHESIVES (LANKO WHITE),"66,698.22",3654463.00
11-May,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ASIA IPSA S066,0228A45028,CN,4000.00,ADHESIVES A700W,"15,033.94",784854.00
2-May,3M PHILIPPINES INC,3M KOREA HIGHTECH LTD,BAHAMIAN EXPRESS 0237S,804021,KR,716.00,ADHESIVES BASED ON POLYMERS OF WT 3009 4204,"5,291.12",296842.00
11-May,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ASIA IPSA S066,0228A45028,CN,3750.00,ADHESIVES LE180N,"8,269.21",432400.00
31-May,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,AS SICILIA V 18005S,PTMNN1805016,CN,3000.00,ADHESIVES LE180N,"6,792.77",360607.00
21-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,BO SHI YUN 558,0248A12348,CN,8000.00,ADVANTRA 8621 (HOT MELT ADHESIVES),"24,832.00",1313707.00
11-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,ASIA IPSA S066,0258A39969,CN,4000.00,ADVANTRA 8621 (HOT MELT ADHESIVES),"12,436.65",651490.00
21-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,ASIA IPSA S067,11334,CN,4000.00,ADVANTRA 8621 (HOT MELT ADHESIVES),"11,864.28",626417.00
30-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,BO SHI HANG 88,0248A15023,CN,2480.00,ADVANTRA PHC 9255 (HOT MELT ADHESIVES),"9,203.41",512167.00
21-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,ASIA IPSA S067,11334,CN,1520.00,ADVANTRA PHC 9255 (HOT MELT ADHESIVES),"5,710.99",317887.00
30-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,BO SHI HANG 88,0248A15023,CN,12940.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"47,518.73",2499250.00
21-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER (CHINA) ADHESIVES LTD.,ASIA IPSA S067,11334,CN,2400.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"8,923.27",471801.00
8-May,H.B FULLER (PHILIPPINES) INC.,H. B. FULLER ADHESIVES MALAYSIA SDN,WAN HAI 101 N115,PKGSGL000464,MY,5400.00,ADVANTRA PHC 9256 (INDUSTRIAL ADHESIVES),"17,048.66",888527.00
17-May,ALLTECH BIOTECHNOLOGY CORP,ALLTECH BIOTECHNOLOGY CORP LTD,ITAL MODERNA 0825 106E,EGLV050800310710,TH,1000.00,ALLZYME SSF E,"7,954.95",434687.00
24-May,ALLTECH BIOTECHNOLOGY CORP,"CUSTOM FREIGHT SALES, INC.",HANGZHOU BAY BRIDGE 026W,CVGMNN8911387D,US,2000.00,ALLZYME VEGPRO,"12,059.22",658133.00
10-May,PHILIPPINE FOREMOST MILLING,"MUEHLENCHEMIE GMBH & CO., KG",MSC INGY 812E,HDMUHBML1278611,DE,2500.00,ALPHAMALT ROX,"22,595.88",1209459.00
