DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
29-Aug,MEGA SOFT HYGIENIC PRODUCTS INC.,"SHENZHEN GUI HAO CHENG TRADE CO.,LT",SITC TOKYO V1828S,SITGSHCYT01046,CN,5317.00,ADHESIVE TEP517,"6,814.08",372115.00
9-Aug,DAESANG RICOR CORPORATION,OAK ZONE BIOTECH LTD,ACRUX N V 1821,MCB390990,KR,8455.00,"POTIMALT BBA, CLARESE, SPEZYME FRED","35,910.00",1979007.00
2-Aug,ASYA GLASS PHILIPPINES INC.,GUANGDONG OLIVIA CHEMICAL  INDUSTRY,SITC HAINAN  V 058S,SITSKCDG046873,CN,16206.00,SILICONE SEALANT,"69,527.62",3736118.00
31-Aug,HENKEL PHILIPPINES INC.,HENKEL US OPERATIONS CORP,OOCL HO CHI MINH CITY 25,HOU020244,US,327.00,ADHESIVE (LOCTITE PE 3164 B PA5GAEN),"8,001.05",446294.00
22-Aug,BOAST INC,ZHONGSHAN JUN TAI IMPORT AND EXPORT,MS EAGLE 1821,MCB445642,CN,1690.00,GB-185 GLUE,"2,100.00",125382.00
7-Aug,BOAST INC,ZHONGSHAN JUN TAI IMPORT AND EXPORT,HAYLING ISLAND 1815,MCB422410,CN,4358.00,GB-347 GLUE,"6,000.00",353508.00
22-Aug,BOAST INC,ZHONGSHAN JUN TAI IMPORT AND EXPORT,MS EAGLE 1821,MCB445642,CN,3622.00,GB-347F GLUE,"4,500.00",267042.00
7-Aug,BOAST INC,ZHONGSHAN JUN TAI IMPORT AND EXPORT,HAYLING ISLAND 1815,MCB422410,CN,2441.00,GB-616 CONTACT ADHESIVE,"3,360.00",198557.00
24-Jul,DIGEEGLASS CORPORATION,SHANGHAI WELL YEILD INTL TRADE,DONG FANG QIANG,HMS018060063,CN,17651.00,ADHESIVE INTERIOR BASE COAT & ETC,"7,583.12",412762.00
30-Jul,PHILIPPINE INSULATION CO. INC.,BOSTIK LIMITED,LOS ANDES BRIDGE V.102S,ONEYLIVU17574700,GB,14254.00,"ADHESIVE PRODUCTS (IDEN 40-317 DUCT SLT, EVO","15,338.80",862487.00
